rms,mav,zc,ssc,wavelength,participant,muscle_group
504.42469472031416,248.46535732084473,26904,44941,15822492.561708989,subject 1,biceps-isom
1290.1324345618564,489.2736688008366,25743,45470,28814248.447974376,subject 1,biceps-isot
1402.74327789186,582.0603877953195,24883,42973,42156966.41016308,subject 1,triceps-isot
1139.1963504148719,511.5317269940507,25936,45916,46890735.61248807,subject 1,triceps-isom
1285.0799595762023,575.9628330127817,32915,50139,62024260.544326365,subject 1,Gastrocnemius-Medialis-isom
549.6266842375535,240.90124638678734,30809,51535,21614856.769750956,subject 1,Gastrocnemius-Medialis-isot
2430.777205946983,1100.2625888770826,14992,35268,62851395.52960789,subject 1,Vastus-Medialis-isom
1170.7858792013394,427.73861965395787,15641,34288,23203316.990689646,subject 1,Vastus-Medialis-isot
4462.459069388399,2015.161404228522,26123,40391,82439534.80113548,subject 2,biceps-isom
3080.698081318591,1166.7026908684954,24852,38573,56452019.07143227,subject 2,biceps-isot
3144.722470225199,1069.5301505964883,22387,36633,77542309.25704642,subject 2,triceps-isot
2297.4524370100303,959.2625156389003,25761,42562,74017194.98755014,subject 2,triceps-isom
912.5360660590853,482.0333532287258,26182,43432,46508678.34074381,subject 2,Gastrocnemius-Medialis-isom
985.4417051149911,385.9020519997786,25537,46107,34097929.64006394,subject 2,Gastrocnemius-Medialis-isot
1896.699253384428,808.9633449020532,22871,44785,50063125.87798302,subject 2,Vastus-Medialis-isom
641.9435058523601,198.06717853895387,21593,46061,12306626.157532796,subject 2,Vastus-Medialis-isot
832.2438464689994,387.1447400847455,26610,42681,21072293.923138566,subject 3,biceps-isom
1133.2593381070417,575.8398545509091,19789,34260,29312935.236940686,subject 3,biceps-isot
573.6503139165992,223.48451411497132,23968,46688,18440698.002240118,subject 3,triceps-isot
1990.3577029432458,945.7722416831227,23335,38213,71799352.38352953,subject 3,triceps-isom
762.0079533115473,383.87655085857654,32366,49305,41287909.98427985,subject 3,Gastrocnemius-Medialis-isom
1227.0048857548409,525.3136841642113,21207,45524,35945631.38941735,subject 3,Gastrocnemius-Medialis-isot
639.2349083392558,272.261036187069,30649,49644,22748403.335075192,subject 3,Vastus-Medialis-isom
331.63121074482456,123.61612110315018,36020,53873,9891150.938753095,subject 3,Vastus-Medialis-isot
200.85872833032334,123.89687614606737,26917,44772,8757755.027151367,subject 4,biceps-isom
538.0863185374317,338.4135064221405,21592,38301,22103557.970358584,subject 4,biceps-isot
475.0764380723969,267.32884629635487,25378,42211,21656323.512906097,subject 4,triceps-isot
418.1474057585824,243.52148536088592,27879,45857,22211224.72660588,subject 4,triceps-isom
306.51134749675253,156.86886371988652,34400,49764,16486873.540244175,subject 4,Gastrocnemius-Medialis-isom
351.7334145399585,138.84352319706804,36593,53655,15423747.780139256,subject 4,Gastrocnemius-Medialis-isot
795.6351980485904,360.54375706102115,25155,45306,20905660.73710031,subject 4,Vastus-Medialis-isom
836.8829707739451,390.09278567862054,25568,42009,18582961.128990762,subject 4,Vastus-Medialis-isot
870.2657786851527,400.90504513634556,28049,44994,18494713.41543071,subject 5,biceps-isom
679.251455332576,413.5843399467033,18199,33792,22536037.92736837,subject 5,biceps-isot
835.7221310334662,263.4404974993895,32307,48841,18850793.842652217,subject 5,triceps-isot
1028.3271208349554,441.86214733751154,32238,47495,33085711.644970328,subject 5,triceps-isom
779.0755548170969,516.479136443349,14509,27786,32464370.36712348,subject 5,Gastrocnemius-Medialis-isom
673.0141579384083,412.78292414383225,11565,24885,19371728.42682468,subject 5,Gastrocnemius-Medialis-isot
799.5593316057063,335.6495555193804,15912,38598,21520847.427634843,subject 5,Vastus-Medialis-isom
467.40456099596076,210.59912126154362,16040,42182,11294212.336683415,subject 5,Vastus-Medialis-isot
3215.218296657318,1425.568595082,28059,42031,58738611.79367473,subject 6,biceps-isom
1662.197840501339,590.8328742056221,28567,45173,34283529.91283709,subject 6,biceps-isot
832.239425420304,296.3017941978741,26062,44250,20433989.946644656,subject 6,triceps-isot
1330.246729734214,562.1221554250285,34689,50510,47025629.49737718,subject 6,triceps-isom
2741.4915055008523,1331.441305049148,13895,29708,87505755.956608,subject 6,Gastrocnemius-Medialis-isom
2598.0263176198537,1142.4780233317078,11644,28810,66594886.98833925,subject 6,Gastrocnemius-Medialis-isot
2804.000770532326,1470.7364698690938,16481,30896,81966512.14782517,subject 6,Vastus-Medialis-isom
668.1817560321979,363.8321157892847,11332,30660,16233379.711188978,subject 6,Vastus-Medialis-isot
437.70847632123144,223.38214432311932,27047,43991,14207460.710373836,subject 7,biceps-isom
798.8220237156812,324.1950117901469,24222,42742,15698103.43438732,subject 7,biceps-isot
1130.5010644010608,390.69848401393347,34744,49820,38865400.14203999,subject 7,triceps-isot
1212.2130838796616,553.1350379932419,36143,50020,59474549.57635277,subject 7,triceps-isom
410.2760671395579,198.70627703587476,25903,46437,18123990.14066887,subject 7,Gastrocnemius-Medialis-isom
804.9197331291973,316.4870647630454,25402,47574,26563609.80681083,subject 7,Gastrocnemius-Medialis-isot
